en	zh
five meters per second	每秒 五 米
one two one six five VIETNAM five three one good day	幺两幺点六五 越南航空 五三幺 日安
apron good evening CHINA EASTERN five one four four route NORTH	机坪 晚安 东航 五幺四四 路线北
GERMAN CARGO five GERMAN CARGO five seven zero stand three one seven	德国货运 五拐洞 停机位 三幺拐
D H seven hold short of ILS	D H 拐 等待 ILS
<FIVE>	<FIVE>
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
left vacate taxi via BRAVO hold short HOTEL two AIR JUNEYAO one two one three	向左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺三
QINGDAO tower continue H two hold short runway three five due to traffic	青岛塔台 继续 H 两 等待跑道 三五 由于交通
pushback and start up approved runway three six left left CHINA EASTERN five three five three	推回和启动获批 跑道三六左转 东航 五三五三
apron SHANGHAI AIR eight eight zero five parking bay two six ready	机坪 上海航空 八八洞五 停机位 两六 准备好了
continue approach three six right QNH one zero one zero ROMEO LIMA ALPHA seven five zero one	继续接近跑道 三六 右 QNH 幺洞幺洞 罗密欧 利马 阿尔法 拐五洞幺
SICHUAN eight eight zero five apron standby about three zero	四川航空 八八洞五 机坪 待命 大约 三洞 分钟
standard	标准
check	检查
zero one one	洞洞幺
AIR SPRING eight five	春秋航空 八五
D one four hold short L zero one	D 幺四 等待 L 洞幺
AIR SPRING eight five nine zero contact ground turn right	春秋航空 八五九洞 联系地面 右转
clear to land three six right AIR MACAU one three eight	跑道 三六 右 清晰着陆 澳门航空 幺三八
NAV	导航
AIR BUSAN three one two one nine good day	釜山航空 三幺两幺九 日安
<ENGINE>	<ENGINE>
AIR JUNEYAO one two one two tower continue approach runway three six right QNH one zero one four	吉祥航空 幺两幺两 塔台 继续接近 跑道 三六 右 QNH 幺洞幺四
hold short P four BAUHINIA	等待 P 四 BAUHINIA
good day BRAVO four two we have A good morning	日安 BRAVO 四两 早上好
NAV	导航
CHINA SOUTHERN good day	南方航空 日安
descend and maintain seven thousand	下降并保持 拐洞洞洞
tower	塔台
apron CHINA EASTERN five three three five request taxi	机坪 东航 五三三五 请求滑行
continue approach runway three six right QNH one zero one three CHINA EASTERN five one four four	继续接近 跑道 三六 右 QNH 幺洞幺三 东航 五幺四四
PHILIPPINE three three eight hold short of ECHO contact ground one two one decimal eight good day	菲律宾航空 三三八 等待 ECHO 联系地面 幺两幺点八 日安
AIR JUNEYAO one zero one zero turn left vacate taxi via BRAVO hold short of HOTEL two	吉祥航空 幺洞幺洞 左转 滑行通过 BRAVO 等待 HOTEL 两
<FMA-MODE-TRANSITION>	<FMA-MODE-TRANSITION>
<ONE-HUNDRED>	<ONE-HUNDRED>
<FOUR-HUNDRED>	<FOUR-HUNDRED>
right vacate AIR MACAU one three	向右滑行 澳门航空 幺三
continue approach runway three six right QNH one zero one six AIR SPRING eight eight five six	继续接近跑道 三六 右 QNH 幺洞幺六 春秋航空 八八五六
clear to land three six right AIR MACAU one three eight	跑道 三六 右 清晰着陆 澳门航空 幺三八
land	着陆
check	检查
OK the right via ALPHA one JAPAN AIR one	好的 通过 ALPHA 幺 日本航空 幺
CHINA EASTERN five one one five contact ground one two one decimal nine good day	东航 五幺幺五 联系地面 幺两幺点九 日安
er FINNAIR eight seven apron TANGO four hold short of ECHO YOU are number one	芬兰航空 八拐 在 TANGO 四 停机坪 等待 ECHO 你是第一
apron er tower JAPAN AIR two one er good morning due to to wind check	机坪 塔台 日本航空 两幺 早安 由于风检查
ASIANA three six six stand by about one one five minutes	亚航 三六六 待命 大约 幺五 分钟
AIR SPRING eight five nine zero HONGQIAO tower taxi via BRAVO HOTEL seven hold short runway three	春秋航空 八五九洞 虹桥塔台 通过 BRAVO HOTEL 拐 等待跑道 三
CHINA EASTERN five three zero one apron standby	东航 五三洞幺 机坪待命
AIR JUNEYAO one two zero nine hold short of DELTA	东航 幺两洞九 等待 DELTA
CARGO five one two five roger STAY with me traffic	货运 五幺两五 收到 待命 我会联系你
check	检查
NAV	导航
er ground er SHANGHAI tower ALL NIPPON eight four zero seven not ready	地面 SHANGHAI 塔台 全日空 八四洞拐 还未准备好
GOLF one two five bay seven seven ready for start	GOLF 幺两五 停机位 拐拐 准备启动
clear to land three six right AIR MACAU one three eight	跑道 三六 右 清晰着陆 澳门航空 幺三八
zero three	洞三
QINGDAO tower continue H two hold short runway three five due to traffic	青岛塔台 继续 H 两 等待跑道 三五 由于交通
I am sorry sorry can YOU say again for UNITED eight five eight	抱歉 你能再说一遍联合航空 八五八 吗
NAV	导航
<TWO-THOUSAND-FIVE-HUNDRED>	<TWO-THOUSAND-FIVE-HUNDRED>
AIR JUNEYAO one two one two tower continue approach runway three six right QNH one zero one four	吉祥航空 幺两幺两 塔台 继续接近 跑道 三六 右 QNH 幺洞幺四
continue approach three six right QNH one zero one three TRANS JADE five one six two	继续接近 跑道 三六 右 QNH 幺洞幺三 TRANS JADE 五幺六两
er three six right correction three six left clear for take off MIKE SIERRA ZULU	确认 三六 右 更正 三六 左 清晰起飞 MIKE SIERRA ZULU
five six five six contact QINGDAO one	五六五六 联系青岛 幺
<ENGINE>	<ENGINE>
CHINA EASTERN five one one one roger standby	东航 五幺幺幺 收到 待命
zero four zero four	洞四洞四
AIR JUNEYAO one two one seven contact tower one one eight decimal six five good day	吉祥航空 幺两幺拐 联系塔台 幺幺八点六五 日安
contact apron one two one decimal six seven five good day	联系地面 幺两幺点六拐五 日安
zero nine	零九
land	着陆
CHINA EASTERN five three zero eight surface wind three six zero degrees at one zero meters per second runway three six right clear to land	东航 五三洞八 表面风速 三六洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
JUNEYAO one zero one two	吉祥航空 幺洞幺两
right vacate AIR MACAU one three	向右滑行 澳门航空 幺三
OK give me frequency ASIANA three six six	好的 给我频率 亚航 三六六
<FIVE>	<FIVE>
delivery hello CATHAY three six five bay any have 澶?for departure	调度 你好 国泰 三六五 停机位 有什么可用的出发吗
QNH one zero one three continue approach runway three six right CHINA EASTERN five three zero eight	QNH 幺洞幺三 继续接近 跑道 三六 右 东航 五三洞八
runway three six right clear to land CHINA EASTERN five three seven	跑道 三六 右 清晰着陆 东航 五三拐
AIR JUNEYAO one nine zero ZULU approaching HOTEL six	吉祥航空 幺九洞 ZULU 接近 HOTEL 六
stand by AEROFLOT two zero nine	待命 俄罗斯航空 两洞九
report when tug ready CHINA EASTERN five two seven one	报告 拖车准备好时 东航 五两拐幺
CARGO one two five apron go ahead	货运 幺两五 机坪 请讲
STAR	STAR
ground	地面
AIR JUNEYAO one two zero nine DELTA hold short of DELTA one six	东航 幺两洞九 DELTA 等待 DELTA 幺六
AIR MACAU one two eight turn right A contact er contact ground one two one decimal	澳门航空 幺两八 向右转 A 联系地面 幺两幺点九
turn left taxi BRAVO hold short HOTEL two AIR JUNEYAO one one zero	向左转 滑行 BRAVO 等待 HOTEL 两 吉祥航空 幺幺洞
AIR JUNEYAO one two one seven contact tower one one eight decimal six five good day	吉祥航空 幺两幺拐 联系塔台 幺幺八点六五 日安
HAINAN seven six zero six about five minutes	海南 拐六洞六 大约五分钟
NAV	导航
DELTA one one YANKEE two follow follow-me car er parking bay two three seven HAINAN seven six zero three	DELTA 幺幺 Y两 跟随引导车 停机位 两三拐 海南 拐六洞三
check	检查
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
AIR JUNEYAO one two one two tower continue approach runway three six right QNH one zero one four	吉祥航空 幺两幺两 塔台 继续接近 跑道 三六 右 QNH 幺洞幺四
CHINA EASTERN five one one six confirm	东航 五幺幺六 确认
push back and start up runway one seven	推回并启动 跑道 幺拐
NAV GREEN	导航 绿色
er one one three zero three AIR MACAU one three eight	确认 幺幺三洞三 澳门航空 幺三八
localizer runway three six left	ILS 跑道 三六 左
zero five	洞五
one one eight six five BAUHINIA two three	幺幺八点六五 BAUHINIA 两三
JAPAN AIR eight one eight continue report when	日本航空 八幺八 继续接近 报告时
AIR MACAU one three eight surface wind three five zero degrees one zero meters per second runway three six right clear to land	澳门航空 幺三八 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
CHINA EASTERN five one six two tower	东航 五幺六两 塔台
er say again please	请再说一遍
descend maintain present heading	下降并保持当前航向
runway track	跑道
affirm we are able take off and have the tower CATHAY three seven	确认 我们能够起飞 并且有塔台 国泰 三拐
er PUDONG apron KOREAN AIR eight nine four heavy request pushback and start up stand two one eight	浦东机坪 韩亚航空 八九四 重型 请求推回和启动 停机位 两幺八
NAV	导航
CHINA EASTERN five one four four contact tower one one eight decimal six five good day	东航 五幺四四 联系塔台 幺幺八点六五 日安
BIG BIRD eight eight five pushback and start up	BIG BIRD 八八五 推回并启动
one two six six five LAO eight eight two good day	幺两六点六五 老挝航空 八八两 日安
<FORTY>	<FORTY>
<FORTY>	<FORTY>
<FIVE>	<FIVE>
apron THAI six six three standing by	机坪 泰航 六六三 待命
ALL NIPPON nine seven eight contact SHANGHAI approach one two six decimal six five good day	全日空 九拐八 联系上海进近 幺两六点六五 日安
runway three six right clear to land AIR JUNEYAO one two one two	跑道 三六 右 清晰着陆 吉祥航空 幺两幺两
AIR MACAU one two eight turn right A contact er contact ground one two one decimal	澳门航空 幺两八 向右转 A 联系地面 幺两幺点九
AIR SPRING eight seven one five contact apron one two one decimal nine seven five	春秋航空 八拐幺五 联系机坪 幺两幺点九拐五
land	着陆
KOREAN AIR eight six one	韩亚航空 八六幺
heading	航向
one zero one four continue approach three six right AIR MACAU one three eight	幺洞幺四 继续接近 跑道 三六 右 澳门航空 幺三八
<FIVE>	<FIVE>
<THREE-HUNDRED>	<THREE-HUNDRED>
continue approach three six right QNH one zero one three TRANS JADE five one six two	继续接近 跑道 三六 右 QNH 幺洞幺三 TRANS JADE 五幺六两
<FMA-MODE-TRANSITION>	<FMA-MODE-TRANSITION>
AIR MACAU one three eight surface wind three five zero degrees one zero meters per second runway three six right clear to land	澳门航空 幺三八 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
turn left taxi BRAVO hold short HOTEL two AIR JUNEYAO one one zero	向左转 滑行 BRAVO 等待 HOTEL 两 吉祥航空 幺幺洞
normal	正常
<FOUR-HUNDRED>	<FOUR-HUNDRED>
FINNAIR eight one surface wind zero five zero degree eight meters per second runway three six right clear to land	芬航 八幺 表面风速 五洞° 每秒 八 米 跑道 三六 右 清晰着陆
ROMEO LIMA ALPHA seven five zero one HONGQIAO tower continue approach runway three six right QNH one zero one zero	罗密欧 利马 阿尔法 拐五洞幺 虹桥塔台 继续接近跑道 三六 右 QNH 幺洞幺洞
apron AIR JUNEYAO one eight eight one request taxi instruction	机坪 东航 幺八八幺 请求滑行指示
ALL NIPPON eight five nine zero	全日空 八五九洞
er stand with YOU	我会和你待命
<FORTY>	<FORTY>
OK one two one six five VIETNAM five two three good day thank YOU	好的 幺两幺点九拐五 越南航空 五两三 日安 谢谢你
CHINA SOUTHERN good day	南方航空 日安
runway three six right clear for take off CHINA EASTERN five one four four	跑道 三六 右 清晰起飞 东航 五幺四四
apron PHILIPPINE three three nine airbus three thirty one sixty fully ready	机坪 菲律宾航空 三三九 空客 三幺六洞 完全准备好了
roger we ready for pushback and start up	收到 我们准备推回和启动
climb	爬升
CHINA EASTERN five three zero eight HANGZHOU tower continue approach runway three six right QNH one zero one three	东航 五三洞八 杭州塔台 继续接近 跑道 三六 右 QNH 幺洞幺三
PUDONG apron KOREAN AIR eight nine four heavy how long stand by for pushback	浦东机坪 韩亚航空 八九四 重型 推回待命多久
THAI six six three contact apron one two one decimal nine seven five	泰航 六六三 联系机坪 幺两幺点九拐五
land	着陆
CATHAY three four nine tower H	国泰航空 三四九 塔台 H
AIR SPRING eight five nine zero cross runway three six right	春秋航空 八五九洞 穿越跑道 三六 右
AIR JUNEYAO one two one two contact tower one one eight decimal six five good day	吉祥航空 幺两幺两 联系塔台 幺幺八点六五 日安
NAV	导航
DRAGON nine nine nine	龙 九九九
DELTA hold short DELTA one six CHINA EASTERN five one two one	DELTA 等待 DELTA 幺六 东航 五幺两幺
AIR JUNEYAO one nine zero ZULU approaching HOTEL six	吉祥航空 幺九洞 ZULU 接近 HOTEL 六
direct to GODOP	直接到 GODOP
NAV	导航
five nine zero	五九洞
NAV	导航
approach runway	接近跑道
er pushback and start up approved runway three six er left CHINA EASTERN five two seven one	推回和启动获批 跑道三六左转 东航 五两拐幺
now with closed yes AEROFLOT two zero nine	现在关闭 俄罗斯航空 两洞九
one two eight four one	幺两八四幺
via A hold short of H one	通过 A 等待 H 幺
<FORTY>	<FORTY>
THAI six six three apron	泰航 六六三 机坪
CATHAY three six seven contact apron one two one decimal nine seven	国泰 三六拐 联系机坪 幺两幺点九拐五
taxi via DELTA YANKEE one follow follow-me car stand two three one CHINA EASTERN two four zero six	滑行经过 DELTA Y幺 跟随引导车 停机位 两三幺 东航 两四洞六
one two one nine good day HAINAN seven six zero six	幺两幺点九 日安 海南 拐六洞六
SCOOTER one zero six	SCOOTER 幺洞六
clear for take off AIR JUNEYAO one two zero nine	吉祥航空 幺两洞九 清晰起飞
JAPAN AIR eight one HANGZHOU tower heavy continue approach runway three six right QNH one zero one one	日本航空 八幺 杭州塔台 重型 继续接近 跑道 三六 右 QNH 幺洞幺幺
one one eight decimal six five AIR JUNEYAO one two one two good day	幺幺八点六五 吉祥航空 幺两幺两 日安
QINGDAO tower continue H two hold short runway three five due to traffic	青岛塔台 继续 H 两 等待跑道 三五 由于交通
AIR JUNEYAO one two one one contact ground one two one decimal nine good day	东航 幺两幺幺 联系地面 幺两幺点九 日安
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
normal	正常
one one eight decimal five	幺幺八点五
via H two approach	通过 H 两 进近
one seven established ILS runway one seven	一七 确立 ILS 跑道一七
apron MALAYSIA three eight nine heavy hello	机坪 马来西亚航空 三八九 重型 你好
two eight zero two B H one seven two seven	两八洞两 B H 幺拐两拐
STAR	STAR
check	检查
AIR JUNEYAO one zero one zero turn left vacate taxi via BRAVO hold short of HOTEL two	吉祥航空 幺洞幺洞 左转 滑行通过 BRAVO 等待 HOTEL 两
zero six	零六
THAI six six three apron stand by about three zero	泰航 六六三 机坪待命 大约 三洞 分钟
DELTA YANKEE one follow follow-me car stand two two one AIR JUNEYAO one one zero six	DELTA YANKEE 幺 跟随引导车 停机位 两两幺 东航 幺幺洞六
KOREAN AIR eight two one er roger maintain runway heading climb to and maintain nine hundred meters	韩亚航空 八两幺 收到 维持跑道方向 上升到并保持九洞洞米
D H seven hold short of ILS	D H 拐 等待 ILS
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
GUANGZHOU tower JAPAN AIR eight one , six miles final runway three six right	广州塔 日本航空 八幺 , 六英里 最终接近 跑道 三六 右
LEVER climb	推杆 爬升
AIR MACAU one three eight surface wind three five zero degrees one zero meters per second runway three six right clear to land	澳门航空 幺三八 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
one two one nine five good day HAINAN seven	幺两幺点九五 日安 海南航空 拐
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
runway three six right clear to land AIR JUNEYAO one one zero six	跑道 三六 右 清晰着陆 吉祥航空 幺幺洞六
VIETNAM five three one apron STAY with me traffic	越南航空 五三幺 机坪 待命 我会联系你
<FOUR-HUNDRED>	<FOUR-HUNDRED>
land	着陆
AIR JUNEYAO one two one one pushback and start up approved runway three six left	东航 幺两幺幺 推回和启动获批 跑道三六左转
MALAYSIA three eight nine apron go ahead	马来西亚航空 三八九 机坪 请讲
standby CHINA EASTERN five one one one	待命 东航 五幺幺幺
back correct	复述正确
CATHAY three six three contact apron one two one decimal nine seven five	国泰航空 三六三 联系机坪 幺两幺点九拐五
D H descend	D H 下降
tower	塔台
one two one decimal two	幺两幺点两
AIR JUNEYAO one two one two surface wind three five zero degree nine meters per second runway three six right clear to land	吉祥航空 幺两幺两 表面风速 三五洞° 每秒 九 米 跑道 三六 右 清晰着陆
CHINA EASTERN five four zero five apron standby with the er correction er and need two zero	东航 五四洞五 机坪 待命 更正 需 两洞 分钟
good day	日安
KOREAN AIR eight nine zero	韩亚航空 八九洞
apron AIR SPRING eight eight five six marshaller in sight	机坪 春秋航空 八八五六 目视达美
left turn join BRAVO holding short of HOTEL two AIR SPRING eight seven seven zero	向左转 加入 BRAVO 等待 HOTEL 两 春秋航空 八拐拐洞
check	检查
check	检查
AIR JUNEYAO one eight eight one taxi via MIKE three DELTA hold short of DELTA one four	东航 幺八八幺 滑行经过 MIKE 三 DELTA 等待 DELTA 幺四
BAUHINIA two three nine contact tower one one eight decimal six five good day	BAUHINIA 两三九 联系塔台 幺幺八点六五 日安
BAUHINIA two three seven apron stand	BAUHINIA 两三拐 机坪 待命
taxi B and	通过 B
zero six	零六
JAPAN eight zero apron stand by er six minutes one by one stand by	日本航空 八洞 机坪待命 大约 六 分钟
<FORTY>	<FORTY>
one one eight decimal six five good day AIR JUNEYAO one two one zero	幺幺八点六五 日安 吉祥航空 幺两幺洞
AIR MACAU one two eight contact SHENYANG one two one decimal nine good day	澳门航空 幺两八 联系沈阳 幺两幺点九 日安
AIR JUNEYAO one zero one zero turn left vacate taxi via BRAVO hold short of HOTEL two	吉祥航空 幺洞幺洞 左转 滑行通过 BRAVO 等待 HOTEL 两
CHINA EASTERN five one one nine pushback and start up approved runway three six left	东航 五幺幺九 推回和启动获批 跑道三六左转
apron PHILIPPINE three three eight on TANGO four and hold short WHISKEY one	停机坪 菲律宾航空 三三八 在 TANGO 四 等待 WHISKEY 幺
STAR	STAR
CHINA EASTERN five one six two tower	东航 五幺六两 塔台
taxi via TANGO four holding short ECHO ASIANA three six	通过 TANGO 四 等待 ECHO 亚航 三六
MIKE two hold short DELTA CHINA EASTERN five one one three	MIKE 两 等待 DELTA 东航 五幺幺三
D H seven hold short of ILS	D H 拐 等待 ILS
land	着陆
er tug	拖车
er DYNASTY five eight two do YOU call me	确认 DYNASTY 五八两 你能给我打电话吗
AIR JUNEYAO one eight five six , two three two er marshaller in sight good night	东航 幺八五六 停机位 两三两 看到达美 晚安
CHINA EASTERN five five one five apron report tug ready	东航 五五幺五 机坪 报告 拖车准备
check	检查
line up and wait runway three six left CHINA EASTERN five one one	排队等候跑道 三六 左 东航 五幺幺
QNH one zero one six continue approach runway three six right CHINA EASTERN five one six eight heavy	QNH 幺洞幺六 继续接近跑道 三六 右 东航 五幺六八 重型
CHINA EASTERN five one six two right turn BRAVO	东航 五幺六两 右转 BRAVO
TANGO four hold short ECHO ASIANA nine six nine four seven	TANGO 四 等待 ECHO 亚航 九六九四拐
DALIAN KOREAN AIR two two zero nine	大连 韩亚航空 两两洞九
taxi via B H seven hold short of runway three six right OK B four	通过 B H 拐 等待跑道 三六 右 好的 B 四
affirm	确认
<TWO-THOUSAND-FIVE-HUNDRED>	<TWO-THOUSAND-FIVE-HUNDRED>
GUANGZHOU tower good evening AIR JUNEYAO one two one two established localizer runway three six right	广州塔 晚安 吉祥航空 幺两幺两 确立 ILS 跑道 三六 右
tug ready HAINAN seven six zero six	拖车准备好了 海南 拐六洞六
AIR SPRING six four five one pushback start up approved runway three five right facing	春秋航空 六四五幺 推回和启动获批 跑道 三五 右 面向
INDONESIA eight nine five er now YOU are number	印尼航空 八九五 现在你是第
SINGAPORE eight three three now contact apron one two one decimal nine seven	新加坡航空 八三三 现在联系机坪 幺两幺点九拐五
tower one one eight decimal one ASIANA three two five	塔台 幺幺八点幺 亚航 三两五
CHINA EASTERN five one zero one	东航 五幺洞幺
turn right on A one two one decimal nine AIR MACAU one two eight bye bye	向右转 A 联系 幺两幺点九 澳门航空 幺两八 再见
zero four four runway three six right MIKE DELTA	洞四四 跑道 三六 右 MIKE DELTA
two four nine continue ILS approach runway vacate runway one seven	两四九 继续 ILS 接近 跑道 清空 跑道 幺拐
MIKE SIERRA SIERRA ZULU SIERRA ZULU HONGQIAO tower HOTEL four hold short of runway three six right due traffic	MIKE SIERRA ZULU HONGQIAO 塔台 HOTEL 四 等待跑道 三六 右 由于交通
one two one nine CHINA EASTERN five five one five good day	幺两幺点九 日安 东航 五五幺五
NAV	导航
AIR JUNEYAO one two one two contact tower one one eight decimal six five good day	吉祥航空 幺两幺两 联系塔台 幺幺八点六五 日安
<FIVE>	<FIVE>
CHINA EASTERN nine nine one two pushback and start up approved runway three four left	东航 九九幺两 推回和启动获批 跑道 三四 左
<FOUR-HUNDRED>	<FOUR-HUNDRED>
AIR JUNEYAO one two one two tower continue approach runway three six right QNH one zero one four	吉祥航空 幺两幺两 塔台 继续接近 跑道 三六 右 QNH 幺洞幺四
HANGZHOU tower AIR SPRING eight eight five five HOTEL four hold short runway three six right	杭州塔台 春秋航空 八八五五 HOTEL 四 等待跑道 三六 右
MACAU one three seven left turn BRAVO hold short of HOTEL six	澳门航空 幺三拐 左转 BRAVO 等待跑道 三六 右
KOREAN AIR eight nine eight	韩亚航空 八九八
left turn join BRAVO holding short of HOTEL two AIR SPRING eight seven seven zero	向左转 加入 BRAVO 等待 HOTEL 两 春秋航空 八拐拐洞
apron CHINA EASTERN five nine one ready for taxi	停机坪 东航 五九幺 准备滑行
two zero meters confirm AEROFLOT two zero nine	确认 两洞 米 俄罗斯航空 两洞九
BIG BIRD eight eight five	BIG BIRD 八八五
<ENGINE>	<ENGINE>
one zero one four continue approach three six right AIR MACAU one three eight	幺洞幺四 继续接近 跑道 三六 右 澳门航空 幺三八
AIR BUSAN three one two one nine good day	釜山航空 三幺两幺九 日安
line up and wait runway three six left AIR JUNEYAO one two zero nine	排队等候跑道 三六 左 吉祥航空 幺两洞九
NAV	导航
stand by	等待
AIR JUNEYAO one two one seven contact tower one one eight decimal six five good day	吉祥航空 幺两幺拐 联系塔台 幺幺八点六五 日安
KOREAN AIR eight eight two	韩亚航空 八八两
climb	爬升
number one AIR JUNEYAO one one eight one	第一 东航 幺幺八幺
HANGZHOU tower good afternoon CATHAY three four nine holding short of runway vacated taxi on BRAVO four	杭州塔台 下午好 国泰航空 三四九 等待跑道 空闲 通过 BRAVO 四
AIR JUNEYAO one one zero six vacate left taxi via BRAVO hold short of HOTEL two	吉祥航空 幺幺洞六 向左转 滑行通过 BRAVO 等待 HOTEL 两
BRAVO hold short HOTEL two AIR JUNEYAO one one zero six	BRAVO 等待 HOTEL 两 吉祥航空 幺幺洞六
NAV	导航
check	检查
AIR MACAU one two eight turn right A contact er contact ground one two one decimal	澳门航空 幺两八 向右转 A 联系地面 幺两幺点九
AIR MACAU one three eight tower continue approach runway three six right QNH one zero one	澳门航空 幺三八 塔台 继续接近 跑道 三六 右 QNH 幺洞幺
taxi via DELTA hold short DELTA one six CHINA EASTERN five one one one	滑行经过 DELTA 等待 DELTA 幺六 东航 五幺幺幺
ALL NIPPON nine seven zero line up and wait runway three six left	全日空 九拐洞 排队等候跑道 三六 左
heading	航向
apron AIR JUNEYAO one zero eight five stand er tug ready	机坪 吉祥航空 幺洞八五 停机位 拖车准备好了
apron good evening CHINA EASTERN five one two one stand two three eight ECHO ready	机坪 晚安 东航 五幺两幺 停机位 两三八 ECHO 准备好了
right vacate AIR MACAU one three	向右滑行 澳门航空 幺三
AIR JUNEYAO one two one two surface wind three five zero degree nine meters per second runway three six right clear to land	吉祥航空 幺两幺两 表面风速 三五洞° 每秒 九 米 跑道 三六 右 清晰着陆
QNH one zero one three continue approach runway three six right CHINA EASTERN five three zero eight	QNH 幺洞幺三 继续接近 跑道 三六 右 东航 五三洞八
apron UNITED eight five eight	机坪 联合航空 八五八
SICHUAN eight nine six two apron stand by	四川航空 八九六两 机坪 待命
one two zero one	幺两洞幺
QINGDAO tower continue H two hold short runway three five due to traffic	青岛塔台 继续 H 两 等待跑道 三五 由于交通
one zero one four continue approach three six right AIR MACAU one three eight	幺洞幺四 继续接近 跑道 三六 右 澳门航空 幺三八
EVA six seven five apron standby er at this time	EVA 六拐五 机坪 待命 此时
AIR JUNEYAO one two one two contact tower one one eight decimal six five good day	吉祥航空 幺两幺两 联系塔台 幺幺八点六五 日安
zero six	零六
left BRAVO hold short two six BAUHINIA two three nine	左转 BRAVO 等待 两六 BAUHINIA 两三九
standard	标准
two zero	两洞
OK LUFTHANSA seven two nine	好的 汉莎航空 拐两九
three one zero continue approach taxi via H four hold short runway three five	三幺洞 继续接近 通过 H 四 等待跑道 三五
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
<FORTY>	<FORTY>
runway reduce	减少跑道
one two six three five good day AIR JUNEYAO one two zero nine	幺两六点三五 日安 吉祥航空 幺两洞九
er roger then we stand by thanks BAUHINIA two three	确认 我们待命 谢谢 BAUHINIA 两三
one one eight decimal four	幺幺八点四
one one eight decimal two	幺幺八点两
check	检查
standing by CHINA EASTERN five three zero one	待命 东航 五三洞幺
er one one three zero three AIR MACAU one three eight	确认 幺幺三洞三 澳门航空 幺三八
turn right on A one two one decimal nine AIR MACAU one two eight bye bye	向右转 A 联系 幺两幺点九 澳门航空 幺两八 再见
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
QINGDAO tower continue H two hold short runway three five due to traffic	青岛塔台 继续 H 两 等待跑道 三五 由于交通
DRAGON nine five zero	龙 九五洞
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
AEROFLOT two zero nine apron er stand by expect two zero minutes	俄罗斯航空 两洞九 机坪 待命 预计 两洞 分钟
DELTA HOTEL DELTA hold short runway three five AIR JUNEYAO one	DELTA HOTEL DELTA 等待跑道 三五 吉祥航空 幺
check	检查
PAPA four DELTA contact direct to NIXEP	PAPA 四 DELTA 联系 NIXEP
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
er one two one nine seven five SPEEDBIRD one six	幺两幺点九拐五 英国航空 幺六
JUNEYAO one zero one two	吉祥航空 幺洞幺两
heading	航向
apron AIR JUNEYAO one eight five six route two hold short of DELTA	东航 幺八五六 路线 两 等待 DELTA
D H hold short of runway	D H 等待跑道
<ONE-HUNDRED>	<ONE-HUNDRED>
AIR MACAU one two eight contact SHENYANG one two one decimal nine good day	澳门航空 幺两八 联系沈阳 幺两幺点九 日安
check	检查
JUNEYAO one one zero six continue taxi via route NORTH hold short of DELTA	吉祥航空 幺幺洞六 继续通过 NORTH 等待 DELTA
er departure	确认出发
land	着陆
NAV	导航
one two one decimal nine good day CHINA EASTERN five two seven one	幺两幺点九 日安 东航 五两拐幺
standard	标准
standing by THAI six six three	待命 泰航 六六三
NAV	导航
one one eight decimal six five AIR JUNEYAO one two one two good day	幺幺八点六五 吉祥航空 幺两幺两 日安
AIR JUNEYAO one two one zero DELTA parking bay two three two	吉祥航空 幺两幺洞 DELTA 停机位 两三两
land	着陆
CHINA EASTERN five three three five continue taxi DELTA hold short of DELTA one six	东航 五三三五 继续滑行 DELTA 等待 DELTA 幺六
JAPAN AIR eight one eight continue report when	日本航空 八幺八 继续接近 报告时
VIETNAM five three	越南航空 五三
one two one nine CHINA EASTERN five one two one bye bye	幺两幺点九 东航 五幺两幺 再见
CHINA EASTERN five one two three HONGQIAO apron roger pushback er correction report tow car ready	东航 五幺两三 虹桥 机坪 收到 推回 更正 报告拖车准备好
tower	塔台
one two one decimal	幺两幺点
land	着陆
<FIFTY>	<FIFTY>
land	着陆
